competition,date_scraped,season,team,points,try_scored,conversion,penalty_goal,drop_goal,carries,metres_made,clean_break,defender_beaten,offload,tackle,missed_tackle,turnovers_conceded,penalty_conceded,yellow_card,red_card,lineout_throws_won,turnover_won,lineouts_lost,lineout_steals,scrums_won,scrums_lost
United Rugby Championship,2026-07-12,2025/26,Benetton,327,40,33,25,,"1,923","6,341",88,335,140,"2,473",419,269,170,16,1,225,79,33,16,85,10
United Rugby Championship,2026-07-12,2025/26,Cardiff,374,55,40,11,,"3,030","6,769",103,369,122,"2,752",385,244,183,13,1,233,104,43,12,115,15
United Rugby Championship,2026-07-12,2025/26,Connacht,463,65,60,14,,"2,779","8,111",104,422,129,"3,036",369,210,187,9,1,201,95,35,24,117,8
United Rugby Championship,2026-07-12,2025/26,DHL Stormers,559,67,61,60,,"2,410","8,047",113,556,160,"2,242",402,276,185,17,1,294,83,27,21,122,11
United Rugby Championship,2026-07-12,2025/26,Dragons,350,43,44,15,,"1,974","5,741",69,369,56,"2,722",298,218,188,9,1,227,88,37,13,98,9
United Rugby Championship,2026-07-12,2025/26,Edinburgh,362,57,40,3,,"2,140","6,865",90,368,122,"2,626",350,236,170,9,1,232,86,36,17,118,6
United Rugby Championship,2026-07-12,2025/26,Glasgow,533,75,75,1,,"2,999","9,276",109,518,134,"2,480",300,247,190,10,,283,98,29,17,100,9
United Rugby Championship,2026-07-12,2025/26,Leinster,630,92,76,10,,"2,741","8,882",125,411,171,"2,598",393,298,197,17,2,248,89,24,21,113,11
United Rugby Championship,2026-07-12,2025/26,Lions,542,75,56,26,,"1,861","7,210",109,404,200,"2,457",389,226,163,12,2,240,100,47,7,111,8
United Rugby Championship,2026-07-12,2025/26,Munster,410,60,46,12,,"2,179","6,530",84,318,117,"2,810",391,251,193,10,1,226,113,30,15,100,13
United Rugby Championship,2026-07-12,2025/26,Ospreys,376,55,53,7,,"2,047","6,211",91,342,108,"2,534",343,215,169,14,2,224,94,52,8,97,17
United Rugby Championship,2026-07-12,2025/26,Scarlets,361,51,38,11,,"1,954","5,753",73,314,129,"2,402",375,207,207,18,1,236,107,25,22,92,10
United Rugby Championship,2026-07-12,2025/26,Sharks,467,70,50,7,,"1,812","6,405",87,378,123,"1,745",322,269,167,7,1,237,62,33,36,113,5
United Rugby Championship,2026-07-12,2025/26,Ulster,494,70,64,8,,"2,179","7,745",100,426,145,"2,642",361,243,177,12,2,192,100,29,15,92,14
United Rugby Championship,2026-07-12,2025/26,Vodacom Bulls,640,91,92,16,,"2,546","10,878",141,467,212,"2,557",400,317,191,15,,244,109,30,13,129,6
United Rugby Championship,2026-07-12,2025/26,Zebre,312,43,35,15,,"1,576","4,992",59,289,126,"2,440",332,220,182,16,3,215,104,44,4,98,14
Nations Championship,2026-07-12,2026,Argentina,73,10,10,1,,287,834,15,50,12,337,35,18,16,1,,26,7,1,,6,
Nations Championship,2026-07-12,2026,Australia,57,9,6,,,281,869,16,52,14,292,46,21,17,2,,22,8,1,4,8,
Nations Championship,2026-07-12,2026,England,94,14,12,,,215,787,12,57,5,258,50,19,19,2,,26,6,,1,11,3
Nations Championship,2026-07-12,2026,Fiji,32,4,3,2,,239,891,6,59,42,181,40,33,25,1,1,13,16,1,1,16,1
Nations Championship,2026-07-12,2026,France,74,10,6,4,,277,"1,090",24,53,26,387,48,19,18,1,,19,3,3,1,10,1
Nations Championship,2026-07-12,2026,Ireland,69,10,8,1,,254,757,10,43,12,311,41,17,19,,,32,8,8,2,10,2
Nations Championship,2026-07-12,2026,Italy,27,3,3,2,,203,597,11,29,10,356,47,37,11,,1,24,4,3,1,10,
Nations Championship,2026-07-12,2026,Japan,47,5,5,4,,207,520,4,20,5,325,42,25,18,1,,22,6,1,2,13,1
Nations Championship,2026-07-12,2026,New Zealand,81,12,9,1,,316,"1,098",21,63,19,301,37,26,16,1,,17,7,4,2,11,1
Nations Championship,2026-07-12,2026,Scotland,75,11,10,,,291,981,21,70,21,288,39,22,18,1,,24,9,1,1,7,
Nations Championship,2026-07-12,2026,South Africa,87,13,11,,,217,749,16,46,8,378,74,17,15,2,,25,7,3,,10,1
Nations Championship,2026-07-12,2026,Wales,60,9,6,1,,230,509,3,17,9,377,70,27,15,,,24,16,1,1,11,1
World Rugby Nations Cup,2026-07-12,2026,Canada,56,8,8,,,231,850,9,30,14,180,32,27,12,,,23,9,5,3,11,
World Rugby Nations Cup,2026-07-12,2026,Chile,86,11,9,2,,163,522,4,32,8,248,43,23,16,1,,30,12,7,,7,3
World Rugby Nations Cup,2026-07-12,2026,Georgia,74,7,7,6,,163,433,10,37,11,267,36,22,21,3,,24,10,5,5,9,4
World Rugby Nations Cup,2026-07-12,2026,Hong Kong,36,4,3,1,,205,635,9,47,8,183,54,22,25,5,1,18,5,4,4,9,1
World Rugby Nations Cup,2026-07-12,2026,Portugal,67,10,7,1,,241,895,15,35,17,256,31,19,19,1,2,18,6,6,4,11,2
World Rugby Nations Cup,2026-07-12,2026,Romania,67,9,8,2,,178,688,10,51,11,278,52,20,25,4,,18,7,2,1,9,
World Rugby Nations Cup,2026-07-12,2026,Samoa,78,12,9,,,231,"1,074",23,70,26,230,56,34,16,2,,24,6,7,3,14,
World Rugby Nations Cup,2026-07-12,2026,Spain,74,10,9,2,,192,902,13,32,9,341,41,24,20,1,,26,7,4,2,12,
World Rugby Nations Cup,2026-07-12,2026,Tonga,55,8,6,1,,233,801,8,50,22,184,44,27,25,3,,24,12,6,8,10,
World Rugby Nations Cup,2026-07-12,2026,USA,61,7,4,6,,199,606,7,27,9,232,33,17,17,2,,24,7,2,,13,
World Rugby Nations Cup,2026-07-12,2026,Uruguay,70,11,6,1,,214,595,13,38,12,185,40,19,27,2,,34,6,2,2,4,3
World Rugby Nations Cup,2026-07-12,2026,Zimbabwe,41,6,4,1,,176,712,7,39,12,216,42,20,20,1,,26,9,8,1,9,1
United Rugby Championship,2026-07-13,2025/26,Benetton,327,40,33,25,,"1,923","6,341",88,335,140,"2,473",419,269,170,16,1,225,79,33,16,85,10
United Rugby Championship,2026-07-13,2025/26,Cardiff,374,55,40,11,,"3,030","6,769",103,369,122,"2,752",385,244,183,13,1,233,104,43,12,115,15
United Rugby Championship,2026-07-13,2025/26,Connacht,463,65,60,14,,"2,779","8,111",104,422,129,"3,036",369,210,187,9,1,201,95,35,24,117,8
United Rugby Championship,2026-07-13,2025/26,DHL Stormers,559,67,61,60,,"2,410","8,047",113,556,160,"2,242",402,276,185,17,1,294,83,27,21,122,11
United Rugby Championship,2026-07-13,2025/26,Dragons,350,43,44,15,,"1,974","5,741",69,369,56,"2,722",298,218,188,9,1,227,88,37,13,98,9
United Rugby Championship,2026-07-13,2025/26,Edinburgh,362,57,40,3,,"2,140","6,865",90,368,122,"2,626",350,236,170,9,1,232,86,36,17,118,6
United Rugby Championship,2026-07-13,2025/26,Glasgow,533,75,75,1,,"2,999","9,276",109,518,134,"2,480",300,247,190,10,,283,98,29,17,100,9
United Rugby Championship,2026-07-13,2025/26,Leinster,630,92,76,10,,"2,741","8,882",125,411,171,"2,598",393,298,197,17,2,248,89,24,21,113,11
United Rugby Championship,2026-07-13,2025/26,Lions,542,75,56,26,,"1,861","7,210",109,404,200,"2,457",389,226,163,12,2,240,100,47,7,111,8
United Rugby Championship,2026-07-13,2025/26,Munster,410,60,46,12,,"2,179","6,530",84,318,117,"2,810",391,251,193,10,1,226,113,30,15,100,13
United Rugby Championship,2026-07-13,2025/26,Ospreys,376,55,53,7,,"2,047","6,211",91,342,108,"2,534",343,215,169,14,2,224,94,52,8,97,17
United Rugby Championship,2026-07-13,2025/26,Scarlets,361,51,38,11,,"1,954","5,753",73,314,129,"2,402",375,207,207,18,1,236,107,25,22,92,10
United Rugby Championship,2026-07-13,2025/26,Sharks,467,70,50,7,,"1,812","6,405",87,378,123,"1,745",322,269,167,7,1,237,62,33,36,113,5
United Rugby Championship,2026-07-13,2025/26,Ulster,494,70,64,8,,"2,179","7,745",100,426,145,"2,642",361,243,177,12,2,192,100,29,15,92,14
United Rugby Championship,2026-07-13,2025/26,Vodacom Bulls,640,91,92,16,,"2,546","10,878",141,467,212,"2,557",400,317,191,15,,244,109,30,13,129,6
United Rugby Championship,2026-07-13,2025/26,Zebre,312,43,35,15,,"1,576","4,992",59,289,126,"2,440",332,220,182,16,3,215,104,44,4,98,14
Nations Championship,2026-07-13,2026,Argentina,73,10,10,1,,287,834,15,50,12,337,35,18,16,1,,26,7,1,,6,
Nations Championship,2026-07-13,2026,Australia,57,9,6,,,281,869,16,52,14,292,46,21,17,2,,22,8,1,4,8,
Nations Championship,2026-07-13,2026,England,94,14,12,,,215,787,12,57,5,258,50,19,19,2,,26,6,,1,11,3
Nations Championship,2026-07-13,2026,Fiji,32,4,3,2,,239,891,6,59,42,181,40,33,25,1,1,13,16,1,1,16,1
Nations Championship,2026-07-13,2026,France,74,10,6,4,,277,"1,090",24,53,26,387,48,19,18,1,,19,3,3,1,10,1
Nations Championship,2026-07-13,2026,Ireland,69,10,8,1,,254,757,10,43,12,311,41,17,19,,,32,8,8,2,10,2
Nations Championship,2026-07-13,2026,Italy,27,3,3,2,,203,597,11,29,10,356,47,37,11,,1,24,4,3,1,10,
Nations Championship,2026-07-13,2026,Japan,47,5,5,4,,207,520,4,20,5,325,42,25,18,1,,22,6,1,2,13,1
Nations Championship,2026-07-13,2026,New Zealand,81,12,9,1,,316,"1,098",21,63,19,301,37,26,16,1,,17,7,4,2,11,1
Nations Championship,2026-07-13,2026,Scotland,75,11,10,,,291,981,21,70,21,288,39,22,18,1,,24,9,1,1,7,
Nations Championship,2026-07-13,2026,South Africa,87,13,11,,,217,749,16,46,8,378,74,17,15,2,,25,7,3,,10,1
Nations Championship,2026-07-13,2026,Wales,60,9,6,1,,230,509,3,17,9,377,70,27,15,,,24,16,1,1,11,1
World Rugby Nations Cup,2026-07-13,2026,Canada,56,8,8,,,231,850,9,30,14,180,32,27,12,,,23,9,5,3,11,
World Rugby Nations Cup,2026-07-13,2026,Chile,86,11,9,2,,163,522,4,32,8,248,43,23,16,1,,30,12,7,,7,3
World Rugby Nations Cup,2026-07-13,2026,Georgia,74,7,7,6,,163,433,10,37,11,267,36,22,21,3,,24,10,5,5,9,4
World Rugby Nations Cup,2026-07-13,2026,Hong Kong,36,4,3,1,,205,635,9,47,8,183,54,22,25,5,1,18,5,4,4,9,1
World Rugby Nations Cup,2026-07-13,2026,Portugal,67,10,7,1,,241,895,15,35,17,256,31,19,19,1,2,18,6,6,4,11,2
World Rugby Nations Cup,2026-07-13,2026,Romania,67,9,8,2,,178,688,10,51,11,278,52,20,25,4,,18,7,2,1,9,
World Rugby Nations Cup,2026-07-13,2026,Samoa,78,12,9,,,231,"1,074",23,70,26,230,56,34,16,2,,24,6,7,3,14,
World Rugby Nations Cup,2026-07-13,2026,Spain,74,10,9,2,,192,902,13,32,9,341,41,24,20,1,,26,7,4,2,12,
World Rugby Nations Cup,2026-07-13,2026,Tonga,55,8,6,1,,233,801,8,50,22,184,44,27,25,3,,24,12,6,8,10,
World Rugby Nations Cup,2026-07-13,2026,USA,61,7,4,6,,199,606,7,27,9,232,33,17,17,2,,24,7,2,,13,
World Rugby Nations Cup,2026-07-13,2026,Uruguay,70,11,6,1,,214,595,13,38,12,185,40,19,27,2,,34,6,2,2,4,3
World Rugby Nations Cup,2026-07-13,2026,Zimbabwe,41,6,4,1,,176,712,7,39,12,216,42,20,20,1,,26,9,8,1,9,1
