Player,Rank,Team,carries,clean-break,conversion,defender-beaten,drop-goal,lineout-steals,lineout-throws-won,lineouts-lost,metres-made,missed-tackle,offload,penalty-conceded,penalty-goal,points,red-card,scrums-lost,scrums-won,tackle,try-scored,turnover-won,turnovers-conceded,yellow-card
Alessandro Ortombina,265,Zebre,53,,,3,,,,,58,10,1,5,,,,,,181,,,9,
Jan-Hendrik Wessels,268,Vodacom Bulls,52,1,,4,,,19,,128,7,,16,,,,,,77,,,5,
Thaakir Abrahams,271,Munster,51,5,,15,,,,,333,20,2,4,,,,,,32,,,10,
Gerhard Steenekamp,274,Vodacom Bulls,51,1,,3,,,1,,89,9,1,7,,,,,,94,,,6,
Iain Henderson,280,Ulster,50,,,,,,,,56,6,2,11,,,1,,,87,,,4,
Niccolo Cannone,288,Benetton,49,,,1,,,,,34,4,,6,,,,,,74,,,1,
Michael Ala'alatoa,290,Munster,48,,,,,,,,47,15,,23,,,,,,124,,,3,
Scott Cummings,291,Glasgow,48,1,,2,,,,,67,4,,4,,,,,,48,,,2,1
John McKee,307,Leinster,45,2,,2,,,40,,83,5,,4,,,,,,52,,,2,
Rhys Barratt,313,Cardiff,45,,,3,,,,,35,19,,8,,,,,,135,,,4,
Angus Fraser,317,Glasgow,44,1,,13,,,,,106,5,4,2,,,,,,60,,,3,
Tom O'Toole,320,Ulster,44,,,3,,,,,52,4,1,11,,,,,,73,,,1,
Davide Ruggeri,321,Zebre,44,1,,5,,,,,98,9,2,5,,,,,,54,,,5,
Niall Scannell,324,Munster,43,1,,1,,,47,,77,3,1,2,,,,,,39,,,1,
Findlay Thomson,329,Edinburgh,42,,,1,,,,,119,7,,3,,,,,,56,,,1,
Mirco Spagnolo,337,Benetton,41,1,,4,,,,,74,2,2,3,,,,,,37,,,1,
Dan du Plessis,339,DHL Stormers,40,2,,6,,,,,155,3,2,3,,,,,,59,,,2,
Giulio Marini,343,Benetton,40,1,,3,,,,,43,11,,5,,,,,,107,,,2,
Rory Sutherland,347,Glasgow,39,1,,2,,,,,45,1,1,7,,,,,,42,,,4,
Max Nagy,349,Ospreys,39,,,4,,,,,115,5,3,4,,,,,,27,,,2,
Alex Usanov,350,Leinster,39,,,2,,,,,44,3,,3,,,,,,39,,,,
Matt Dalton,352,Ulster,39,2,,2,,,,,134,7,2,1,,,,,,48,,,6,
Sam Crean,353,Ulster,39,,,,,,,,16,10,,13,,,,,,82,,,6,
JF van Heerden,356,Vodacom Bulls,38,,,,,,1,,77,7,,6,,,,,,35,,,1,
Steff Thomas,357,Ospreys,38,,,3,,,1,,29,9,,8,,,,,,86,,,1,
Fetuli Paea,362,Dragons,38,1,,10,,,,,115,7,1,1,,,,,,36,,,5,
Rodrigo Martinez,363,Dragons,38,,,,,,,,40,7,,10,,,,,,97,,,4,
Huw Anderson,364,Dragons,38,5,,4,,,,,144,10,2,,,,,,,21,,,6,
Christian Coleman,365,Dragons,38,,,1,,,,,34,6,1,14,,,,,,40,,,3,
Rhys Henry,367,Ospreys,37,1,,3,,,,,42,3,,5,,,,,,43,,,3,
Peter Dooley,368,Connacht,37,,,3,,,,,31,10,,6,,,,,,88,,,2,
Leonardo Krumov,369,Zebre,37,1,,3,,,,,50,8,4,8,,,,,,98,,,7,
Harry Beddall,371,Dragons,37,,,5,,,,,45,3,,6,,,,,,146,,,4,
Aphelele Fassi,372,Sharks,36,5,,8,,,2,,255,2,4,4,,,,,,10,,,6,
Ally Miller,374,Glasgow,36,,,2,,,,,72,1,,1,,,,,,43,,,4,
Billy Bohan,375,Connacht,36,,,3,,,,,43,6,2,7,,,,,,85,,,,
Leonardo Marin,376,Benetton,36,2,,12,,,,,135,16,7,3,,,,,,65,,,11,
Eli Snyman,381,Benetton,35,,,,,,,,50,9,,,,,,,,83,,,7,
Ben Muncaster,384,Edinburgh,34,1,,12,,,,,139,3,5,3,,,,,,52,,,8,
James Fender,385,Ospreys,34,,,,,,,,25,9,,6,,,,,,63,,,2,
Filippo Drago,388,Benetton,34,,,3,,,,,55,8,2,,,,,,,42,,,2,
Jamie Bhatti,392,Glasgow,33,,,,,,1,,21,5,,11,,,,,,42,,,2,
Ben Afshar,393,Glasgow,33,1,,5,,,,,139,9,3,,,,,,,28,,,8,
Henry Thomas,398,Scarlets,33,,,1,,,,,30,14,2,18,,,,,,84,,,2,
Nizaam Carr,399,Vodacom Bulls,32,,,5,,,,,132,7,3,1,,,,,,50,,,5,
Neethling Fouche,400,DHL Stormers,32,,,,,,,,22,16,,12,,,,,,91,,,1,
Jadin Kingi,402,Benetton,32,,,3,,,,,35,4,1,1,,,,,,47,,,1,
Giosue Zilocchi,403,Benetton,32,,,2,,,,,19,3,2,7,,,,,,56,,,1,
Sebastian Negri,404,Benetton,32,2,,4,,,,,74,2,,5,,,,,,31,,,2,
Tadhg Furlong,408,Leinster,31,,,4,,,,,33,6,1,2,,,,,,34,,,2,
Callum Hunter-Hill,413,Edinburgh,30,,,,,,,,25,10,1,2,,,,,,72,,,1,
Niall Murray,416,Connacht,30,,,,,,,,45,3,3,4,,,,,,71,,,3,
Manuel Zuliani,420,Benetton,30,1,,4,,,,,64,8,2,7,,,,,,60,,,3,
RF Schoeman,421,Lions,30,,,4,,,,,56,9,,5,,,,,,66,,,,
Bathobele Hlekani,427,Sharks,28,1,,8,,,,,72,6,1,3,,,,,,45,,,2,
Andrew Osborne,431,Leinster,28,5,,7,,,,,175,6,4,5,,,,,,13,,,6,
Jack Carty,432,Connacht,28,1,,7,,,,,81,15,1,4,,,,,,49,,,4,
Keiron Assiratti,433,Cardiff,28,,,,,,,,10,7,,19,,,,,,58,,,3,1
John Ryan,435,Munster,27,,,1,,,,,15,4,,9,,,,,,57,,,1,
Jack Brown,436,Edinburgh,27,1,,7,,,,,127,9,,2,,,,,,12,,,4,
Jack Boyle,439,Leinster,27,1,,5,,,,,47,4,1,12,,,,,,31,,,1,
Jac Davies,440,Scarlets,27,1,,6,,,,,121,5,,4,,,,,,10,,,2,
Destiny Aminu,443,Benetton,27,,,1,,,,,30,8,,6,,,,,,61,,,2,
Robert Hunt,444,Dragons,27,1,,3,,,,,43,6,1,11,,,,,,82,,,4,
Ruan Delport,445,Lions,27,1,,1,,,,,47,1,2,,,,,,,25,,,2,
Josh Wycherley,447,Munster,26,,,2,,,,,19,7,,5,,,,,,44,,,4,
Ollie Blyth-Lafferty,448,Edinburgh,26,,,,,,,,25,4,,5,,,,,,56,,,,
JJ Theron,450,Vodacom Bulls,26,,,3,,,,,94,6,2,1,,,,,,52,,,3,
Jordan Duggan,451,Connacht,26,,,,,,,,20,2,,3,,,,,,42,,,2,
Guido Volpi,452,Zebre,26,,,,,,,,28,6,2,,,,,,,35,,,4,
Rory Jennings,453,Cardiff,26,,,4,,,,,63,13,,,,,,,,35,,,3,
Elliot Dee,454,Dragons,26,,,1,,,35,,45,1,,4,,,,,,33,,,1,
Fin Richardson,457,Glasgow,25,,,2,,,,,14,4,1,,,,,,,37,,,1,
Gareth Thomas,459,Ospreys,25,,,1,,,,,26,11,,7,,,,,,59,,,,
Andrew Porter,460,Leinster,25,,,,,,,,35,3,,5,,,,,,44,,,1,
Denis Buckley,462,Connacht,25,,,,,,,,15,2,1,9,,,,,,56,,,,
Scott Scrafton,464,Benetton,25,,,,,,,,25,2,,5,,,,,,32,,,1,1
Paul Hill,467,Edinburgh,24,1,,4,,,,,45,10,4,10,,,,,,106,,,4,
Kerr Yule,468,Glasgow,24,,,2,,,,,52,4,,,,,,,,17,,,3,
Reinhardt Ludwig,469,Vodacom Bulls,24,,,,,,,,34,3,,3,,,,,,60,,,1,
Jonathan Roche,470,DHL Stormers,24,,,4,,,,,110,3,2,1,,,,,,39,,,1,
Ed Byrne,471,Leinster,24,,,,,,,,22,2,,1,,,,,,9,,,1,
Joe Hopes,472,Ulster,24,,,1,,,,,39,6,,3,,,,,,81,,,1,
Mornay Smith,478,Vodacom Bulls,23,,,2,,,,,26,7,5,6,,,,,,55,,,2,
Vernon Matongo,479,DHL Stormers,23,1,,3,,,,,34,2,,5,,,,,,61,,,3,
Alec Hepburn,481,Scarlets,23,,,2,,,,,18,10,1,5,,,,,,46,,,2,
Jacopo Bianchi,482,Zebre,23,,,2,,,,,51,7,2,5,,,,,,79,,,1,
Mackenzie Martin,483,Dragons,23,,,6,,,,,53,1,,,,,,,,33,,,4,
Huw Jones,485,Glasgow,22,2,,11,,,,,132,5,2,2,,,,,,14,,,3,
Seabelo Senatla,487,DHL Stormers,22,5,,12,,,1,,154,7,2,3,,,,,,16,,,8,
Connor Evans,488,DHL Stormers,22,1,,2,,,,,24,3,,3,,,,,,58,,,5,
Wyn Jones,493,Dragons,22,,,2,,,,,17,6,,11,,,,,,65,,,2,
Zac Porthen,497,DHL Stormers,21,,,4,,,,,38,2,1,4,,,,,,51,,,,
Ryan Baird,498,Leinster,21,,,4,,,,,21,6,3,2,,,,,,27,,,4,
Josh Morse,500,Scarlets,21,,,2,,,,,32,2,2,4,,,,,,26,,,3,
Harri Ackerman,503,Dragons,21,,,2,,,,,33,2,,1,,,,,,21,,,1,
Sibabalo Qoma,504,Lions,21,1,,2,,,,,32,3,,1,,,,,,21,,,3,
Francois Venter,505,Sharks,20,,,3,,,,,44,4,2,,,,,,,29,,,4,
Murphy Walker,507,Glasgow,20,,,2,,,,,12,3,1,6,,,,,,40,,,1,
Salmaan Moerat,508,DHL Stormers,20,,,,,,,,19,4,2,6,,,,,,52,,,2,1
Paddy McCarthy,509,Leinster,20,,,,,,,,29,2,,3,,,,,,25,,,,
Archie Hughes,512,Scarlets,20,2,,1,,,1,,87,7,1,1,,,,,,41,,,4,
Corey Domachowski,513,Cardiff,20,,,,,,,,11,1,,2,,,,,,15,,,,
Ruan Dreyer,514,Sharks,19,,,1,,,,,21,4,,7,,,,,,22,,,2,
Oli Jager,515,Munster,19,,,,,,1,,22,1,,1,,,,,,50,,,,
Tom Botha,517,Ospreys,19,,,2,,,,,3,6,,12,,,,,,77,,,1,
Ruben Moloney,518,Leinster,19,3,,9,,,,,183,4,3,,,,,,,7,,,5,
Lorcan McLoughlin,519,Ulster,19,1,,3,,,,,57,2,,1,,,,,,21,,,,
Matt Victory,520,Connacht,19,,,,,,21,,26,2,,1,,,,,,34,,,1,
Sam O'Connor,521,Scarlets,19,,,3,,,,,33,3,,3,,,,,,17,,,,
Jac Price,522,Scarlets,19,,,,,,,,15,6,,3,,,,,,53,,,2,
Reinhard Nothnagel,526,Lions,19,,,1,,,,,9,7,4,1,,,,,,101,,,5,
Sean Edogbo,528,Munster,18,1,,5,,,,,68,4,,1,,,,,,21,,,3,
Ioan Nicholas,529,Scarlets,18,,,3,,,,,92,6,,,,,,,,4,,,3,
Harri O'Connor,530,Scarlets,18,,,1,,,,,16,2,1,4,,,,,,24,,,,
Rynhardt Jonker,531,Lions,18,,,2,,,,,50,1,1,1,,,,,,20,,,1,
Corne Rahl,532,Sharks,17,1,,2,,,,,27,1,1,2,,,,,,28,,,3,
Paddy Patterson,533,Munster,17,1,,2,,,,,77,9,2,1,,,,,,30,,,5,
Cameron Jones,534,Ospreys,17,2,,4,,,,,36,1,1,3,,,,,,19,,,,
Ion Neculai,535,Zebre,17,,,,,,,,29,3,1,5,,,,,,28,,,3,
Simphiwe Matanzima,536,Sharks,16,,,3,,,,,34,1,,4,,,,,,27,,,1,
Alulutho Tshakweni,540,Vodacom Bulls,16,,,,,,,,24,4,2,4,,,,,,36,,,,
Ruan Ackermann,541,DHL Stormers,16,,,2,,,,,26,1,1,1,,,1,,,21,,,3,
Rabah Slimani,542,Leinster,16,,,,,,,,18,4,,12,,,,,,53,,,,1
Albert Batista,545,Zebre,16,2,,5,,,,,120,6,,2,,,,,,22,,,4,
Ben Donnell,546,Cardiff,16,,,,,,,,34,3,1,1,,,,,,33,,,,
JC Pretorius,547,Lions,16,3,,14,,,,,147,2,1,1,,,,,,31,,,4,
Ben Warren,550,Ospreys,15,,,,,,,,6,2,,4,,,,,,41,,,2,
Ciaran Mangan,551,Leinster,15,,,2,,,,,19,,3,,,,,,,9,,,,
Jonny Scott,552,Ulster,15,,,7,,,,,42,5,3,,,,,,,4,,,,
Marcus Rea,553,Ulster,15,,,1,,,,,24,4,,3,,,,,,19,,,2,
Teddy Williams,556,Cardiff,15,1,,,,,,,15,5,1,5,,,,,,36,,,1,
Thomas Dyer,560,Sharks,14,,,,,,,,20,2,,,,,,,,12,,,1,
Archer Holz,566,Scarlets,14,,,1,,,,,20,2,,3,,,,,,46,,,,
Tiziano Pasquali,567,Benetton,14,,,1,,,,,9,5,,13,,,,,,50,,,,
Cebo Dlamini,568,Dragons,14,,,,,,,,4,,1,5,,,,,,36,,,1,
Tom Dodd,570,Edinburgh,13,,,4,,,,,22,4,2,,,,,,,26,,,3,
Hugo McLaughlin,571,Leinster,13,1,,,,,,,26,1,1,,,,,,,,,,2,
James McCormick,572,Ulster,13,1,,,,,23,,22,10,,1,,,,,,21,,,,
Tristan Davies,574,Scarlets,13,,,3,,,,,8,,1,3,,,,,,14,,,,
Enrico Lucchin,575,Zebre,13,,,2,,,,,45,6,5,1,,,,,,32,,,1,
Ruben Schoeman,577,Lions,13,,,,,,,,10,6,,2,,,,,,33,,,1,
Eben Etzebeth,580,Sharks,12,,,1,,,,,21,2,,1,,,,,,17,,,2,
Jerry Blyth-Lafferty,582,Edinburgh,12,,,1,,,15,,7,3,2,1,,,,,,25,,,2,
Nicolaas Janse van Rensburg,583,Vodacom Bulls,12,1,,3,,,,,19,5,1,2,,,,,,53,,,6,
Suleiman Hartzenberg,584,DHL Stormers,12,,,2,,,1,,57,5,,1,,,,,,16,,,8,
Kian Hire,587,Ospreys,12,,,,,,,,13,3,1,4,,,,,,11,,,,
Andrew Sparrow,589,Leinster,12,,,,,,,,18,3,,2,,,,,,14,,,,
Enrique Pieretto,591,Zebre,12,,,,,,,,11,9,1,6,,,,,,31,,,2,
Marcos Gallorini,592,Benetton,12,,,,,,,,10,7,,7,,,,,,55,,,1,
John Bryant,593,Benetton,12,1,,1,,,,,32,5,2,1,,,,,,21,,,1,
Evan Minto,594,Dragons,12,,,2,,,,,43,2,,1,,,,,,11,,,3,
Christie Grobbelaar,595,Sharks,11,2,,3,,,,,111,8,1,,,,,,,8,,,4,
Efan Daniel,597,Ospreys,11,,,2,,,20,,20,,,2,,,,,,21,,,1,
Tom Florence,598,Ospreys,11,1,,3,,,,,55,3,,,,,,,,12,,,2,
Ben Moxham,599,Ulster,11,,,,,,,,32,2,,,,,,,,3,,,1,
David Hawkshaw,600,Connacht,11,1,,1,,,,,56,4,,3,,,,,,10,,,,
Sam Wainwright,601,Cardiff,11,,,1,,,,,1,1,,5,,,,,,21,,,,
Andy Uren,602,Benetton,11,,,3,,,1,,43,8,1,1,,,,,,34,,,5,
Tomas Medina,603,Benetton,11,,,5,,,,,23,3,1,4,,,,,,22,,,,
Nama Xaba,605,Vodacom Bulls,10,,,,,,,,,,,1,,,,,,48,,,2,
Gwilym Evans,606,Ospreys,10,,,2,,,,,14,1,,,,,,,,37,,,,
Niall Smyth,607,Leinster,10,,,2,,,,,5,1,,4,,,,,,10,,,,
Harvey Cuckson,609,Scarlets,10,1,,,,,,,30,1,,6,,,,,,25,,,,
Shilo Klein,610,Zebre,10,,,,,,13,,14,1,,1,,,,,,11,,,,
Bongi Mbonambi,611,Sharks,9,,,,,,41,,6,7,,3,,,,,,23,,,1,
Deon Slabbert,613,Sharks,9,,,2,,,,,9,3,,,,,,,,21,,,,
Shay McCarthy,615,Munster,9,1,,6,,,,,40,3,,,,,,,,2,,,1,
Luke Crosbie,616,Edinburgh,9,,,,,,,,18,2,,1,,,,,,16,,,1,
Sam Skinner,618,Edinburgh,9,,,,,,,,4,1,,1,,,,,,20,,,1,
Harri Houston,620,Ospreys,9,,,2,,,,,56,,1,,,,,,,5,,,1,
Harry Thomas,621,Scarlets,9,,,,,,28,,2,3,,1,,,,,,26,,,1,
Paolo Buonfiglio,622,Zebre,9,,,,,,,,7,5,,8,,,,,,52,,,,
Luca Morisi,623,Zebre,9,,,,,,,,18,7,1,,,,,,,29,,,3,
Luca Franceschetto,624,Zebre,9,,,2,,,,,11,,,1,,,,,,14,,,2,
Sebastian Lombard,625,Lions,9,,,1,,,,,6,1,,2,,,,,,36,,,,
Jannes Potgieter,627,Sharks,8,,,3,,,,,18,,,,,,,,,7,,,,
Ronan Foxe,628,Munster,8,,,2,,,,,12,,,2,,,,,,9,,,,
Oli Kebble,629,DHL Stormers,8,,,,,,,,20,,,3,,,,,,19,,,,
Nahuel Tetaz Chaparro,630,Benetton,8,,,,,,,,2,,,4,,,,,,13,,,2,
Mattia Midena,631,Benetton,8,,,2,,,,,4,,,,,,,,,15,,,,
Jac Lloyd,632,Dragons,8,,,,,,,,,5,,1,,,,,,5,,,2,
Niall Armstrong,633,Dragons,8,1,,1,,,,,32,2,1,,,,,,,19,,,3,
Angus Williams,635,Edinburgh,7,,,,,,,,5,,,2,,,,,,8,,,,
Johnny Ventisei,636,Glasgow,7,,,,,,,,31,,1,,,,,,,5,,,1,
Jaco Grobbelaar,637,Vodacom Bulls,7,,,,,,,,13,,,2,,,,,,4,,,2,
Marco de Witt,640,Ospreys,7,,,2,,,,,7,,1,,,,,,,2,,,1,
Wilhelm de Klerk,642,Ulster,7,,,2,,,,,13,2,,,,,,,,16,,,,
Colm Reilly,643,Connacht,7,,,,,,,,9,8,1,,,,,,,13,,,1,
Ellis Bevan,644,Cardiff,7,1,,2,,,,,51,2,,1,,,,,,12,,,1,
Ivan Nemer,645,Benetton,7,,,,,,,,10,1,,1,,,,,,18,,,,
Dian Bleuler,647,Sharks,6,,,,,,,,4,3,,1,,,,,,9,,,,
Mawande Mdanda,648,Sharks,6,,,1,,,,,5,,1,1,,,,,,7,,,,
Matt Romao,649,Sharks,6,,,,,,,,15,3,,1,,,,,,17,,,2,
Ross McCann,650,Edinburgh,6,,,3,,,,,28,,,,,,,,,4,,,2,
James Whitcombe,652,Edinburgh,6,,,,,,,,2,,1,,,,,,,10,,,,
Hamish Watson,653,Edinburgh,6,,,,,,,,2,,1,,,,,,,2,,,,
Sean Reffell,654,Ulster,6,,,3,,,,,1,1,1,2,,,,,,20,,,,
Bryan O'Connor,655,Ulster,6,,,,,,,,2,2,,2,,,,,,6,,,1,
Alex Groves,656,Scarlets,6,,,,,,,,4,,1,,,,,,,5,,,1,
Steve Cummins,657,Scarlets,6,1,,1,,,,,6,,1,1,,,,,,4,,,,
Migael Prinsloo,658,Zebre,6,1,,3,,,,,24,2,,,,,,,,6,,,1,
Richie Asiata,659,Benetton,6,,,,,,5,,7,,,,,,,,,4,,,,
Federico Zanandrea,660,Benetton,6,,,2,,,,,37,3,,,,,,,,7,,,1,
Dylan Kelleher-Griffiths,662,Dragons,6,,,,,,,,1,1,,3,,,,,,10,,,,
Rhodri Jones,663,Dragons,6,,,,,,,,4,1,,4,,,,,,16,,,,
Jordan Morris,664,Dragons,6,,,1,,,,,7,1,,4,,,,,,27,,,2,
Eddie Davids,666,Lions,6,,,,,,,,4,5,1,4,,,,,,37,,,1,
Marnus Potgieter,668,Sharks,5,,,2,,,,,9,1,,,,,,,,2,,,,
Alan Spicer,669,Leinster,5,,,,,,,,3,,,2,,,,,,7,,,,
Daniel Ryan,671,Connacht,5,1,,,,,,,18,5,,1,,,,,,3,,,2,
Iwan Stephens,673,Cardiff,5,,,1,,,,,36,5,,,,,,,,5,,,3,
Dylan Sjoblom,674,Lions,5,,,1,,,,,9,2,,,,,,,,15,,,,
Conor Bartley,675,Munster,4,,,,,,,,4,2,,1,,,,,,21,,,,
Conor McAlpine,676,Edinburgh,4,,,,,,,,6,,,,,,,,,2,,,,
Matt Davidson,677,Edinburgh,4,,,,,,,,4,,,,,,,,,1,,,,
Kerr Johnston,678,Glasgow,4,,,,,,,,15,2,,,,,,,,5,,,,
Khutha Mchunu,680,Vodacom Bulls,4,,,,,,,,11,1,,2,,,,,,15,,,,
Lukhanyo Vokozela,681,DHL Stormers,4,,,,,,10,,14,,,,,,,,,5,,,,
Ali Vermaak,682,DHL Stormers,4,,,,,,,,8,2,1,1,,,,,,16,,,,
Scarra Ntubeni,683,DHL Stormers,4,,,,,,5,,9,3,2,,,,,,,6,,,,
James McKillop,685,Ulster,4,1,,1,,,,,18,1,,,,,,,,13,,,,
Nelson Casartelli,687,Benetton,4,,,,,,,,4,2,,1,,,,,,1,,,,
Barny Langton-Cryer,688,Dragons,4,,,,,,,,4,1,,,,,,,,9,,,1,
James Benjamin,689,Dragons,4,,,,,,7,,,,,,,,,,,7,,,,
Joe Westwood,690,Dragons,4,,,,,,,,5,1,1,1,,,,,,12,,,2,
Cebo Dlamini,691,Sharks,3,,,,,,,,,,,1,,,,,,12,,,,
Euan McVie,692,Edinburgh,3,,,1,,,,,7,,,,,,,,,1,,,,
Duncan Munn,693,Glasgow,3,,,,,,,,8,3,,1,,,,,,2,,,,
Jack Oliver,694,Glasgow,3,,,1,,,,,2,5,,1,,,,,,3,,,1,
Ryan Burke,695,Glasgow,3,,,,,,,,,1,,,,,,,,9,,,1,
Dewaldt Duvenage,696,DHL Stormers,3,,,1,,,,,11,3,1,,,,,,,10,,,3,
Louw Nel,697,DHL Stormers,3,,,,,,,,4,,,,,,,,,4,,,1,
JC Mars,698,DHL Stormers,3,,,1,,,,,7,,,,,,,,,,,,2,
Ethan Lewis,699,Ospreys,3,,,2,,,5,,,,1,,,,,,,16,,,,
Bobby Sheehan,700,Leinster,3,1,,2,,,2,,,,1,,,,,,,7,,,,
Gabe Hawley,701,Scarlets,3,,,,,,,,,,,1,,,,,,5,,,,
Iori Badham,702,Scarlets,3,,,,,,,,8,1,,,,,,,,9,,,1,
Kirby Myhill,703,Scarlets,3,,,,,,9,,,1,,,,,,,,2,,,,
Owain James,704,Dragons,3,,,,,,,,,,,2,,,,,,11,,,,
Phikolomzi Sobahle,705,Sharks,2,,,,,,,,24,4,,,,,,,,2,,,1,
Ben O'Donovan,707,Munster,2,,,,,,,,26,1,,,,,,,,2,,,1,
Mark Donnelly,708,Munster,2,,,,,,,,2,2,,1,,,,,,16,,,,
Dylan Cockburn,709,Glasgow,2,,,,,,,,1,,,1,,,,,,11,,,2,
Clinton Swart,711,DHL Stormers,2,,,,,,,,3,2,1,,,,,,,1,,,1,
Ryan Conbeer,712,Ospreys,2,1,,1,,,,,28,10,,,,,,,,8,,,1,
Tom Brigg,713,Ulster,2,,,,,,,,11,1,,1,,,,,,5,,,,1
Gabe McDonald,714,Scarlets,2,,,,,,,,6,,,,,,,,,3,,,1,
Marcos Gallorini,715,Zebre,2,,,,,,,,2,,,,,,,,,3,,,,
Elijah Evans,716,Cardiff,2,,,1,,,,,7,,,1,,,,,,4,,,1,
Cornel Smit,717,Cardiff,2,,,,,,,,3,,,,,,,,,1,,,,
Joe Cowell,718,Cardiff,2,,,,,,,,1,,,,,,,,,2,,,,
Leigh Halfpenny,719,Cardiff,2,,,,,,,,10,,,,,,,,,4,,,,
Ewan Rosser,720,Dragons,2,,,,,,,,11,2,,,,,,,,5,,,,
Morgan Lloyd,721,Dragons,2,,,,,,,,19,,,,,,,,,4,,,1,
Sam Scarfe,722,Dragons,2,,,,,,1,,4,1,,,,,,,,7,,,,
Will Austin,723,Dragons,2,,,2,,,4,,14,2,,,,,,,,12,,,,
Manuel Rass,724,Lions,2,,,1,,,,,8,,,,,,,,,3,,,,
Ethan Bester,725,Sharks,1,,,,,,,,,1,,,,,,,,,,,,
Cameron Dawson,726,Sharks,1,,,,,,,,,1,,,,,,,,5,,,,
Gordon Wood,727,Munster,1,,,,,,,,5,,,,,,,,,3,,,,
Mikey Jones,728,Edinburgh,1,,,,,,,,,,,1,,,,,,5,,,,
Lewis Jones,729,Ospreys,1,,,,,,,,,,,,,,,,,5,,,,
Luke Scully,730,Ospreys,1,,,,,,,,,,,,,,,,,1,,,,
Caspar Gabriel,731,Leinster,1,,,,,,,,,,,,,,,,,1,,,,
Dave Shanahan,733,Ulster,1,,,1,,,,,4,,,1,,,,,,3,,,1,
Stewart Moore,734,Ulster,1,,,,,,,,,,,,,,,,,1,,,,
Ben Williams,735,Scarlets,1,,,,,,,,6,,,,,,,,,1,,,,
Max Pearce,736,Cardiff,1,,,,,,1,,,,,,,,,,,,,,,
Tomas Montilla,738,Benetton,1,,,,,,1,,,1,,,,,,,,4,,,,
Heiko Pohlmann,739,Lions,1,,,,,,,,,,,2,,,,,,,,,,
Tapiwa Mafura,740,Lions,1,,,,,,,,4,2,,,,,,,,5,,,2,
Sti Sithole,654,Vodacom Bulls,,,,,,,,,,2,,,,,,,,8,,,,
Sintu Manjezi,677,Vodacom Bulls,,,,,,,,,,,,,,,,,,5,,,,
Giacomo Milano,686,Zebre,,,,,,,,,,1,,,,,,,,5,,,,
Dan Gemine,709,Scarlets,,,,,,,,,,,,1,,,,,,3,,,,
Harry Williams,720,Ospreys,,,,,,,,,,,,,,,,,,2,,,,
Will Greatbanks,721,Ospreys,,,,,,,,,,,,,,,,,,2,,,,
Osian Darwin-Lewis,728,Cardiff,,,,,,,,,,,,,,,,,,2,,,,
Hencus van Wyk,736,DHL Stormers,,,,,,,,,,,,,,,,,,1,,,,
Oliver Reid,737,DHL Stormers,,,,,,,,,,,,1,,,,,,1,,,,
Josh Ericson,739,Leinster,,,,,,,,,,,,,,,,,,1,,,,
Ioan Emanuel,745,Cardiff,,,,,,,,,,,,,,,,,,1,,,,
Lucas de la Rua,749,Cardiff,,,,,,,,,,1,,,,,,,,,,,,
Enzo Avaca,750,Benetton,,,,,,,,,,1,,,,,,,,,,,,
Sam Francis,751,Lions,,,,,,,,,,2,,,,,,,,,,,,
Grant Stewart,752,Glasgow,,,,,,,2,,,,,,,,,,,,,,1,
